,data_1,data_2,data_3,data_4,data_5
BUILDING_Tread 气 - 角螟,260,262,242,236,252
BUILDING_Tread 辨捞 - 角螟,2000,2000,2104,2099,1980
BUILDING_Belt #1 - 气 ,220,220,200,200,210
BUILDING_Belt #2 - 气 ,210,210,190,190,200
BUILDING_Carcass #1 - 气 ,530,650,550,540,620
BUILDING_Carcass #2 - 气 ,440,,,,
BUILDING_Inner - 气 ,420,420,435,435,400
BUILDING_PA - 气 ,600,622,662,652,582
BUILDING_Belt #1 - 辨捞,1968,1970,2069,2072,1953
BUILDING_Belt #2 - 辨捞,1975,1977,2076,2079,1960
BUILDING_PA - 辨捞,1397,1397,1397,1397,1397
